A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,policy
1978231471.7001715,0,1.924594800644115,72062991.04726565,0,0.08622911845895029,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
258999252.4387979,0,0.21665443714850482,340904425.3942757,0,0.362446112006963,0.0,0,0.0,21548862.28129874,0,0.011315205970439552,0.0,0,0.0,0.0,0.0,policy 0
2629657095.394535,0,1.9258972083632966,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
2959436634.3583326,0,1.9091500179600778,0.0,0,0.0,0.0,0,0.0,16949105.01139964,0,0.004645423779807376,0.0,0,0.0,0.0,0.0,policy 0
0.0,0,0.0,188349147.45339578,0,0.20459822462204086,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
77348411.29882844,0,0.06595562454015896,22112227.35009139,0,0.02553374756302689,42348544.729328126,0,0.09210353794343011,0.0,0,0.0,156151861.71405762,0,0.16994929653172738,0.0,0.0,policy 0
346687010.4372865,0,0.21525518717564635,106497619.09421891,0,0.08827840129698009,0.0,0,0.0,105277615.1609727,0,0.04211900376677623,0.0,0,0.0,0.0,0.0,policy 0
2772128768.1049767,0,1.923718495362479,0.0,0,0.0,0.0,0,0.0,9031777.829534773,0,0.003408173180337967,0.0,0,0.0,0.0,0.0,policy 0
0.0,0,0.0,960315596.4565526,0,0.8659789756686125,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
0.0,0,0.0,290693218.33212477,0,0.23665706820964458,0.0,0,0.0,47165274.786405124,0,0.01842225595089633,0.0,0,0.0,0.0,0.0,policy 0
0.0,0,0.0,20399683.540721044,0,0.025831192619517006,140436834.5393275,0,0.3263625249501396,79724736.40003055,0,0.04569659507457996,0.0,0,0.0,0.0,0.0,policy 0
3162813775.664039,0,1.9552621903406038,331992909.8001109,0,0.27780807183386647,0.0,0,0.0,15852618.14660668,0,0.006475959862400859,0.0,0,0.0,0.0,0.0,policy 0
25805368.892336644,0,0.025937003288408644,122081694.98540622,0,0.1563926503939987,16055956.283641778,0,0.039737073711805,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
27238785.959523626,0,0.02480611518682175,154976820.31593496,0,0.1791484844324171,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
3270157691.36193,0,1.9186043508315176,1013129634.9046875,0,0.7274871811611519,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
3089678903.1292295,0,1.8985066631514629,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
2797607500.4626894,0,1.9459951487274385,0.0,0,0.0,7991911.991775524,0,0.01493557738016782,16746694.653009504,0,0.00781893788920475,0.0,0,0.0,0.0,0.0,policy 0
3608753308.8510065,0,1.9114506096355084,100973704.43474224,0,0.07126497153554853,357004037.9268768,0,0.47953581674633017,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
410332686.28800285,0,0.3579660722241338,0.0,0,0.0,3163045.2991216346,0,0.0070656318890808655,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
22857115.640079707,0,0.013576821939931573,33043570.77085121,0,0.026448083999907383,108725621.02760929,0,0.16091880516294851,81315583.47238584,0,0.031503479267284674,0.0,0,0.0,0.0,0.0,policy 0
2319593815.536496,0,1.9154231679518605,0.0,0,0.0,0.0,0,0.0,8460139.589802522,0,0.004005194894250566,0.0,0,0.0,0.0,0.0,policy 0
2797363932.3868804,0,1.9457821475578392,3518595.0309409956,0,0.0031904109696244327,40521283.233700454,0,0.07174422565061864,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
2624108109.6761293,0,1.9300882722948363,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
3320907488.1188526,0,1.9190001252199655,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
17595060.5122138,0,0.013689383570079577,971920012.040832,0,0.8816193910849621,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
0.0,0,0.0,14299340.667471956,0,0.012042322351167962,85234850.78761022,0,0.13302769516580001,1546817.008535884,0,0.000729902214424323,1189015679.8389382,0,0.8647041110597657,0.0,0.0,policy 0
0.0,0,0.0,26958935.96975233,0,0.02614363838597554,0.0,0,0.0,180679127.16149205,0,0.07408003522064689,0.0,0,0.0,0.0,0.0,policy 0
52042029.6070519,0,0.037007577585952925,95776294.95346169,0,0.0891681193085591,0.0,0,0.0,0.0,0,0.0,486856834.59940684,0,0.42404979777933727,0.0,0.0,policy 0
43498311.50789798,0,0.025524609467207113,116854101.83291383,0,0.08943377858253922,10849548.7339321,0,0.015962970098529112,74241569.42326964,0,0.027311161152362082,752877672.3237226,0,0.5283227045352901,0.0,0.0,policy 0
0.0,0,0.0,733622812.8050332,0,0.863157457358397,125458680.90033665,0,0.30274995672214744,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
3628430986.7927847,0,1.924594800644115,0.0,0,0.0,537123890.8978484,0,0.6974515582217424,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
2110376720.9061828,0,1.9100507185788813,0.0,0,0.0,1410474675.561912,0,3.1293626841255806,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
2366719961.691548,0,1.964484240565683,0.0,0,0.0,0.0,0,0.0,6003036.095659999,0,0.003257760122741888,70977098.94592413,0,0.07523857283165734,0.0,0.0,policy 0
90674044.95508268,0,0.06546050487161034,26127588.2984713,0,0.02560776182263124,49947259.11183597,0,0.09205085650713256,6111438.059151782,0,0.00336673870892378,187905290.7717149,0,0.17291059537556194,0.0,0.0,policy 0
2651954456.7740755,0,1.9558713997393147,169875261.68996888,0,0.17210766899257252,153201365.0360295,0,0.29836820454070717,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
2848382429.636395,0,1.9459951487274385,0.0,0,0.0,0.0,0,0.0,83605.23087540247,0,3.832143716351399e-05,0.0,0,0.0,0.0,0.0,policy 0
0.0,0,0.0,21833783.808299977,0,0.0261292553141232,1738527834.7593133,0,3.5526966172340604,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
306941048.55854523,0,0.21252897459550305,13857849.649147589,0,0.013134016616476774,992361188.0091717,0,1.692508711757337,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
2496722437.8428273,0,1.94756676375476,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,policy 0
2977340712.1747646,0,1.923718495362479,0.0,0,0.0,8242809.761230922,0,0.01407950761561541,4778716.932121661,0,0.0020706136548833457,0.0,0,0.0,0.0,0.0,policy 0
0.0,0,0.0,4861198.88636044,0,0.004808289790669844,23898105.556307055,0,0.043600851129982854,7993568.70515535,0,0.004455443281466316,359012347.3001517,0,0.3197663926398646,0.0,0.0,policy 0
