A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.1_RfR Total Costs,A.1_Expected Evacuation Costs,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.2_RfR Total Costs,A.2_Expected Evacuation Costs,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.3_RfR Total Costs,A.3_Expected Evacuation Costs,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.4_RfR Total Costs,A.4_Expected Evacuation Costs,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,A.5_RfR Total Costs,A.5_Expected Evacuation Costs,policy
109129647.3121154,0,0.07306220142166919,0,0,113685285.51336086,0,0.09944804829966311,0,0,1986933912.7247453,0,3.1372067204688845,0,0,106168806.50900161,0,0.03956376202249168,0,0,0.0,0,0.0,0,0,policy 0
2800768204.177516,0,1.9428374440764073,0,0,1425550.4929332423,0,0.0013605947820507823,0,0,40870004.347202405,0,0.07501155013604226,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,policy 0
2808354232.171552,0,1.9494651792643816,0,0,25763220.438235946,0,0.024343568723478325,0,0,0.0,0,0.0,0,0,17695352.50411548,0,0.00809994595501743,0,0,0.0,0,0.0,0,0,policy 0
2990363675.6378207,0,1.7372737194836334,0,0,0.0,0,0.0,0,0,3271591.619155161,0,0.004980331557176323,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,policy 0
2342215394.8089643,0,1.933064365195048,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,policy 0
127212618.40133548,0,0.09909422421439307,0,0,33223710.22373361,0,0.03462154902027097,0,0,20770935.976426452,0,0.04151865114037099,0,0,15569268.342965696,0,0.00868217505625836,0,0,97395148.46597289,0,0.09744613129224383,0,0,policy 0
98326110.30670944,0,0.07434254950894338,0,0,83657716.30442414,0,0.08284068326410997,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,140407145.66710693,0,0.1336209935063717,0,0,policy 0
2668462133.2981215,0,1.9652202204059233,0,0,0.0,0,0.0,0,0,889151194.2339866,0,1.6065712176392142,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,policy 0
0.0,0,0.0,0,0,339967606.51514685,0,0.26374232175503587,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,38519151.12791467,0,0.029256998511729623,0,0,policy 0
62811967.08180444,0,0.045169220116059984,0,0,30142125.815341696,0,0.029126593112226273,0,0,1852212203.1549802,0,3.1278573263946443,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,policy 0
